"Original URL";"Destination URL"
"https://www.jove.com/t/50447/-?list=U204iCLR&?list=U204iCLR&&language=Korean";"https://www.jove.com/t/50447/prostaglandin-extraction-analysis-caenorhabditis-elegans-video?list=U204iCLR&?list=U204iCLR&&language=Korean"
"https://www.jove.com/t/58055/trasferimento-embrionale-minimamente-invasivo-e-vetrificazione?language=Portuguese";"https://www.jove.com/t/58055/minimally-invasive-embryo-transfer-embryo-vitrification-at-optimal?language=Portuguese"
"https://www.jove.com/v/57652/isolering-av-mandibular-krtel-reservoar-innehllet-frn-bornean?language=Swedish";"https://www.jove.com/v/57652/isolation-mandibular-gland-reservoir-contents-from-bornean-exploding?language=Swedish"
"https://www.jove.com/v/60606/-drosophila-larvae?language=Russian";"https://www.jove.com/v/60606/dissection-lipid-droplet-staining-oenocytes-drosophila-larvae-video?language=Russian"
"https://www.jove.com/t/200391/magnetic-separation-and-negative-selection-of-murine-neuronal-cultures";"https://www.jove.com/t/65674/hypothalamic-neural-mechanism-insights-video-jove"
"https://www.jove.com/t/56891/toprak-kaynakl-phytopathogens-bir-tanabilir-gerek-zamanl-pcr-sistemi?utm_term&?utm_term&&language=Turkish";"https://www.jove.com/t/56891/on-site-molecular-detection-soil-borne-phytopathogens-using-portable?utm_term&?utm_term&&language=Turkish"
"https://www.jove.com/t/56334/-?language=Arabic";"https://www.jove.com/t/56334/fabrication-validation-an-organ-on-chip-system-with-integrated?language=Arabic"
"https://www.jove.com/t/58538/-x-?language=Chinese";"https://www.jove.com/t/58538/structural-studies-macromolecules-solution-using-small-angle-x-ray?language=Chinese"
"https://www.jove.com/t/57757/corrosin-de-metales-y-la-eficacia-de-los-inhibidores-de-la-corrosin?list=L5mvoEq6&language=Spanish";"https://www.jove.com/t/57757/metal-corrosion-efficiency-corrosion-inhibitors-less-conductive-media?list=L5mvoEq6&language=Spanish"
"https://www.jove.com/t/51563?list=FP9dX9g3&?list=FP9dX9g3&&language=Portuguese";"https://www.jove.com/t/51563/slow-release-drug-delivery-through-elvax-40w-to-rat-retina?list=FP9dX9g3&?list=FP9dX9g3&&language=Portuguese"
"https://www.jove.com/t/52357?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A 
jove %2528JoVE%253A Journal of Visualized 
Experiments%2529&?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A 
jove %2528JoVE%253A Journal of Visualized Experiments%2529&language=Turkish,2024-04-27;;";"https://www.jove.com/t/52357/green-fluorescent-protein-based-expression-screening-membrane?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%20%0Ajove%20%2528JoVE%253A%20Journal%20of%20Visualized%20%0AExperiments%2529&?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%20%0Ajove%20%2528JoVE%253A%20Journal%20of%20Visualized%20Experiments%2529&language=Turkish,2024-04-27;;"
"https://www.jove.com/fr/institutions/EU-Europe/NL-Netherlands/29095-Prinses-Maxima-Center-for-Pediatric-Oncology";"https://www.jove.com/institutions/EU-europe/NL-netherlands/29095-prinses-maxima-center-for-pediatric-oncology"
"https://www.jove.com/t/63669?language=Swedish";"https://www.jove.com/t/63669/full-versus-sub-regional-quantification-amyloid-beta-load-on-mouse?language=Swedish"
"https://www.jove.com/t/58990/-?language=Arabic";"https://www.jove.com/t/58990/protocol-guidelines-for-point-care-lung-ultrasound-diagnosing?language=Arabic"
"https://www.jove.com/v/5024/introduction-to-the-microplate-reader?language=Arabic";"https://www.jove.com/v/5024/microplate-reader-principle-data-interpretation-and-applications?language=Arabic"
"https://www.jove.com/kr/v/62120/intraspinal-cavity-injection-human-mesenchymal-stem-cells-tracking";"https://www.jove.com/t/62120/intraspinal-cavity-injection-human-mesenchymal-stem-cells-tracking"
"https://www.jove.com/v/66090/transforming-static-barrier-tissue-models-into-dynamic?language=Dutch";"https://www.jove.com/t/66090/transforming-static-barrier-tissue-models-into-dynamic"
"https://www.jove.com/t/53262";"https://www.jove.com/t/53262/using-ex-vivo-upright-droplet-cultures-whole-fetal-organs-to-study"
"https://www.jove.com/v/51403/adaptif-derin-beyin-stimlasyonu-le-parkinson-hastal-kontrol?language=Turkish";"https://www.jove.com/v/51403/controlling-parkinson-s-disease-with-adaptive-deep-brain-stimulation?language=Turkish"
"https://www.jove.com/t/57191/two--photon-intravital-imaging-of-leukocytes-during-the-immune-response-in-lipopolysaccharide--treated-mouse-liver";"https://www.jove.com/t/57191/two-photon-intravital-imaging-leukocytes-during-immune-response"
"https://www.jove.com/v/66156/using-live-cell-imaging-to-measure-effects-pathological-proteins-on?language=Spanish";"https://www.jove.com/t/66156/using-live-cell-imaging-to-measure-effects-pathological-proteins-on"
"https://www.jove.com/archive/10/dezember-2007";"https://www.jove.com/archive/10/december-2007"
"https://www.jove.com/science-education/11463/cores-e-magnetismo";"https://www.jove.com/science-education/11463/colors-and-magnetism-in-coordination-complexes"
